Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
ROP,Roper Technologies Inc,Common stocks,Large cap,Information Technology,"$41,405,493,346 ",0.62%,14.14,6.8,3.01,Analyze
ROST,Ross Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$26,268,974,923 ",1.58%,23.11,1.38,6.47,Analyze
RSG,Republic Services Inc,Common stocks,Large cap,Industrials,"$40,560,391,175 ",1.43%,29.95,3.48,4.49,Analyze
RTX,Raytheon Technologies Corporation,Common stocks,Large cap,Industrials,"$140,541,827,517 ",2.18%,32.55,2.17,1.88,Analyze
SBAC,SBA Communications Corporation,REITs,Large cap,Real Estate,"$34,336,004,710 ",0.81%,78.8,14.43,-6.36,Analyze
SBNY,Signature Bank,Common stocks,Large cap,Financials,"$11,452,889,358 ",1.18%,11.13,5.28,1.4,Analyze
SBUX,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"$89,182,944,000 ",2.45%,20.27,2.85,-10.19,Analyze
SCHW,Charles Schwab Corporation,Common stocks,Large cap,Financials,"$116,972,726,016 ",1.22%,21.3,6.33,2.33,Analyze
SEDG,SolarEdge Technologies Inc,Common stocks,Large cap,Information Technology,"$14,698,123,820 ",0.00%,86.52,6.64,7.41,Analyze
SEE,Sealed Air Corp,Common stocks,Mid cap,Materials,"$8,252,309,338 ",1.41%,15.07,1.45,43.21,Analyze
SHW,Sherwin Williams,Common stocks,Large cap,Materials,"$64,137,974,807 ",0.93%,35.01,3.16,28.61,Analyze
SIVB,SVB Financial Group,Common stocks,Large cap,Financials,"$24,217,255,221 ",0.00%,13.98,4.31,1.5,Analyze
SJM,J.M. Smucker,Common stocks,Large cap,Consumer Staples,"$14,436,896,825 ",2.94%,25.33,1.83,1.77,Analyze
SLB,Schlumberger Nv,Common stocks,Large cap,Energy,"$46,262,568,875 ",1.68%,21.82,1.95,2.97,Analyze
SNA,Snap On Inc,Common stocks,Large cap,Industrials,"$10,651,364,931 ",2.73%,12.45,2.28,2.45,Analyze
SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"$46,871,613,996 ",0.00%,45.97,9.85,8.33,Analyze
SO,Southern Co,Common stocks,Large cap,Utilities,"$76,480,526,107 ",3.64%,33.04,3.21,2.32,Analyze
SPG,"Simon Property Group, Inc",REITs,Large cap,Real Estate,"$32,075,126,872 ",6.53%,14.1,6.2,9.65,Analyze
SPGI,S&P Global Inc,Common stocks,Large cap,Financials,"$117,622,395,000 ",0.91%,33.18,13.57,2.93,Analyze
SRE,Sempra Energy,Common stocks,Large cap,Utilities,"$46,155,649,601 ",3.75%,46.49,3.44,7.98,Analyze
STE,STERIS PLC,Common stocks,Large cap,Health Care,"$20,810,641,646 ",0.82%,84.29,4.54,3.14,Analyze
STT,State Street Corp,Common stocks,Large cap,Financials,"$22,893,304,496 ",3.62%,8.39,2.02,0.85,Analyze
STX,Seagate Technology Plc,Common stocks,Large cap,Information Technology,"$16,066,032,002 ",3.66%,11.98,1.38,38.05,Analyze
STZ,Constellation Brands Class A,Common stocks,Large cap,Consumer Staples,"$45,337,723,801 ",1.27%,90.38,5.14,3.33,Analyze
SWK,Stanley Black & Decker Inc,Common stocks,Large cap,Industrials,"$16,195,485,614 ",2.92%,12.05,1.02,1.74,Analyze
